caption,tone,platform,audience,hashtags,topic,cta,engagement_label,source,caption_cleaned,tone_id,platform_id,audience_id,engagement_id
"People talk about writing on LinkedIn like it’s a formula.

Write about this + this.

And your posts will do well.

But what does 'well' even mean?

Lots of likes?
Lots of reach?
Lots of people seeing your post?

They don’t talk about the type of people liking it.
The kind of reach you’re getting.
The exact people seeing your post.

There’s a lot you can't control.
But there are things you can.

Defining what 'well' means for yourself is one of them.

Because someone else’s 'well' is not your 'well.'

If you’re blindly following, you don’t have an algorithm issue.

You have a strategy issue.

Because your strategy informs what you do.

And just as importantly, what you don’t do.

Your strategy will inform your positioning.

That in turn will shape your messaging.

And your messaging connects with....

Well…

Your customers.

Not just well. But really well.

---

Control the things you can and should.",Professional,Instagram,Professionals,,"Algorithm, Strategy",,high,kaggle_linkedin,people talk writing linkedin like formula write posts well well even mean lots likes lots reach lots people seeing post talk type people liking kind reach getting exact people seeing post lot control things defining well means one someone else well well blindly following algorithm issue strategy issue strategy informs importantly strategy inform positioning turn shape messaging messaging connects well customers well really well control things,3,1,4,0
"3 things a vacation with my parents taught me.

(This was the first time when just the 3 of us had gone for a holiday.
It turned out to be an awesome experience - much better than I had thought.)

Upon my return, the next day as I was meditating, I reflected on the 4 days, asking myself if there was anything new I figured about myself or them.

Here they are:

1. No amount of material success, social validation, professional growth or bank balance can match up to the feeling of pampering your parents and making them feel proud of who you have become.

Their pride when people asked me for selfies, the comfort in which we travelled and stayed - everything made them act like kids in a toy store.

Nothing makes a child happier than to see their parents experience this joy.

2. The number of such occasions with your parents is drastically reducing.

We walked for 5-8kms every day and by the end of the day, both of them were quite tired. They are both 70+, so it's a matter of a few years until such holidays come to a stop.

I wish I had started long ago :(

3. Your parents have lived their life and are set in their ways.
What they need now is not change.
What they need is acceptance.

I do not agree with everything that my parents say or do, and for the longest time, I thought it is my duty to change their ways.

I was wrong.

At this age, the best I can do is to accept them.

There isn't much time.

Call them, visit them, spend time with them, travel with them.

They do not need your money.
They need your time.

PS: Every week, I share such thoughts in my newsletter. You can receive that email for free by subscribing from the link in comments.",Inspirational,Instagram,Professionals,,Family,,high,kaggle_linkedin,things vacation parents taught first time us gone holiday turned awesome experience much better thought upon return next day meditating reflected days asking anything new figured amount material success social validation professional growth bank balance match feeling pampering parents making feel proud become pride people asked selfies comfort travelled stayed everything made act like kids toy store nothing makes child happier see parents experience joy number occasions parents drastically reducing walked 8kms every day end day quite tired 70 matter years holidays come stop wish started long ago parents lived life set ways need change need acceptance agree everything parents say longest time thought duty change ways wrong age best accept much time call visit spend time travel need money need time ps every week share thoughts newsletter receive email free subscribing link comments,2,1,4,0
"If you don't understand the value of retention you can't survive the Service industry.

But, why do people promote retention of clients?

Because it's proof of the quality of services you are providing.

I retained 50% of my clients to date.

Whenever I ask them about their expectations,

They end up saying 'We don't have to worry about this, we know the quality you offer.'

How do you retain clients?

ONE Formula

- never compromise with the quality you offer

Clients return for the experience.

As we say Experience>>>>>>>>>>

By creating content that resonates, I help B2B and B2C retain their customers.",Professional,Instagram,Professionals,,"Retention, Service, Quality, Business",,low,kaggle_linkedin,understand value retention survive service industry people promote retention clients proof quality services providing retained 50 clients date whenever ask expectations end saying worry know quality offer retain clients one formula never compromise quality offer clients return experience say experience creating content resonates help b2b b2c retain customers,3,1,4,1
"I landed my dream tech job in the USA during a recession... without sending a single application!

Yep, you read that right. And no, it wasn't just luck.

Here’s how I made it happen:

I went all-in on making my LinkedIn profile stand out.

Every project I worked on? Posted it.

The impact it had? Documented it.

The problems it solved? Broke it all down.

Then I discovered my golden ticket - Kaggle competitions.

Instead of just participating, I started publishing in-depth notebooks breaking down complex ML problems into bite-sized pieces.

Each notebook told a story: the 'why' behind feature engineering, the reasoning for model selection, even the failed experiments.

I was solving real problems and teaching others along the way.

Before I knew it, people were actually engaging with my content, and guess who started sliding into my DMs? Hiring managers!",Professional,Instagram,Professionals,,"LinkedIn, Job Search",,high,kaggle_linkedin,landed dream tech job usa recession without sending single application yep read right luck made happen went making linkedin profile stand every project worked posted impact documented problems solved broke discovered golden ticket kaggle competitions instead participating started publishing depth notebooks breaking complex ml problems bite sized pieces notebook told story behind feature engineering reasoning model selection even failed experiments solving real problems teaching others along way knew people actually engaging content guess started sliding dms hiring managers,3,1,4,0
"Remote work is not just a trend; it's becoming the future of work. Many companies are adopting flexible working models, but challenges remain in maintaining productivity and collaboration. How do you ensure work-life balance while working remotely?",Casual,Instagram,Professionals,,"Productivity, Remote Work",,high,kaggle_linkedin,remote work trend becoming future work many companies adopting flexible working models challenges remain maintaining productivity collaboration ensure work life balance working remotely,0,1,4,0
"AI is transforming healthcare at an unprecedented pace. From AI-driven diagnostics to robotic surgeries, technology is improving patient outcomes. However, concerns about data privacy and ethical implications remain. How do you think AI will shape the future of healthcare?",Casual,Instagram,Professionals,,"Artificial Intelligence, Healthcare",,high,kaggle_linkedin,ai transforming healthcare unprecedented pace ai driven diagnostics robotic surgeries technology improving patient outcomes however concerns data privacy ethical implications remain think ai shape future healthcare,0,1,4,0
"Work-life balance is essential for mental well-being. With longer working hours and constant digital connectivity, burnout has become a real issue. How do you set boundaries to maintain a healthy balance?",Professional,Instagram,Professionals,,"Work-Life Balance, Mental Health",,high,kaggle_linkedin,work life balance essential mental well longer working hours constant digital connectivity burnout become real issue set boundaries maintain healthy balance,3,1,4,0
"After numerous rejections, I discovered that every 'no' brings me closer to the right 'yes.' Embrace setbacks as lessons for future success. Let your failures guide you toward greater achievements.",Inspirational,Instagram,Professionals,,"Motivation, Success",,high,kaggle_linkedin,numerous rejections discovered every brings closer right yes embrace setbacks lessons future success let failures guide toward greater achievements,2,1,4,0
"Remote work has redefined traditional office culture. It challenges us to find innovative ways to connect, collaborate, and stay inspired despite physical distance. What strategies have you found effective?",Professional,Instagram,Professionals,,"Office Culture, Remote Work",,high,kaggle_linkedin,remote work redefined traditional office culture challenges us find innovative ways connect collaborate stay inspired despite physical distance strategies found effective,3,1,4,0
"Digital transformation is reshaping industries globally, creating new paradigms in business strategy and operations. How are you leveraging emerging technologies to drive innovation and growth in your organization?",Professional,Instagram,Professionals,,"Digital Transformation, Emerging Technologies",,high,kaggle_linkedin,digital transformation reshaping industries globally creating new paradigms business strategy operations leveraging emerging technologies drive innovation growth organization,3,1,4,0
reels fyp barcelona realmadrid,Casual,Instagram,Gen Z,reels fyp barcelona realmadrid,Sports,Follow for more!,medium,kaggle_instagram,reels fyp barcelona realmadrid,0,1,1,2
reelsindia reelsvideos instareels instagramreels friendshipquote explorepage explore,Casual,Instagram,Gen Z,reelsindia reelsvideos instareels instagramreels friendshipquote explorepage explore,Relationships,Follow for more!,medium,kaggle_instagram,reelsindia reelsvideos instareels instagramreels friendshipquote explorepage explore,0,1,1,2
reels comedy kannadareels yashwanthshetty kannadacomedy bengaluru,Casual,Instagram,Gen Z,reels comedy kannadareels yashwanthshetty kannadacomedy bengaluru,Comedy,Follow for more!,medium,kaggle_instagram,reels comedy kannadareels yashwanthshetty kannadacomedy bengaluru,0,1,1,2
pokemon pokemongo nostalgia retrogaming,Casual,Instagram,Gen Z,pokemon pokemongo nostalgia retrogaming,Gaming,Follow for more!,medium,kaggle_instagram,pokemon pokemongo nostalgia retrogaming,0,1,1,2
vibes trending milkshake,Casual,Instagram,Gen Z,vibes trending milkshake,Food,Follow for more!,medium,kaggle_instagram,vibes trending milkshake,0,1,1,2
memes artcommunity designers cats graphicdesigner digitalart digitalartists,Casual,Instagram,Gen Z,memes artcommunity designers cats graphicdesigner digitalart digitalartists,Crafts,Follow for more!,medium,kaggle_instagram,memes artcommunity designers cats graphicdesigner digitalart digitalartists,0,1,1,2
isuzutruck nmr,Casual,Instagram,Gen Z,isuzutruck nmr,Technology,Follow for more!,medium,kaggle_instagram,isuzutruck nmr,0,1,1,2
martialarts reflex train cringe alpha sigma,Casual,Instagram,Gen Z,martialarts reflex train cringe alpha sigma,Sports,Follow for more!,medium,kaggle_instagram,martialarts reflex train cringe alpha sigma,0,1,1,2
shorts ﬁtness transformation motivation dietplan reelsinstagram explore shortshorts foryou explorepage,Casual,Instagram,Gen Z,shorts ﬁtness transformation motivation dietplan reelsinstagram explore shortshorts foryou explorepage trending like share,Fitness,Follow for more!,medium,kaggle_instagram,shorts tness transformation motivation dietplan reelsinstagram explore shortshorts foryou explorepage,0,1,1,2
comedy memes,Casual,Instagram,Gen Z,comedy memes,Comedy,Follow for more!,medium,kaggle_instagram,comedy memes,0,1,1,2
window laptop techreels techvideos technology techiela tipsandtricks windowshacks windows tips,Casual,Instagram,Gen Z,window laptop techreels techvideos technology techiela tipsandtricks windowshacks windows tips pchacks,Technology,Follow for more!,medium,kaggle_instagram,window laptop techreels techvideos technology techiela tipsandtricks windowshacks windows tips,0,1,1,2
soumyavibes harrier tatamotors tataharrier newcar carlife bangalore trendingnow couplegoals couple,Casual,Instagram,Gen Z,soumyavibes harrier tatamotors tataharrier newcar carlife bangalore trendingnow couplegoals couple,Technology,Follow for more!,medium,kaggle_instagram,soumyavibes harrier tatamotors tataharrier newcar carlife bangalore trendingnow couplegoals couple,0,1,1,2
snake anaconda wildlife crocodile alligator caiman spider anteater animals nature,Casual,Instagram,Gen Z,snake anaconda wildlife crocodile alligator caiman spider anteater animals nature jungle conservation professional python florida everglades colombia peru southamerica night expedition explore biodiversity science bigsnake venomous yoink instagram reelsinstagram,Wildlife,Follow for more!,medium,kaggle_instagram,snake anaconda wildlife crocodile alligator caiman spider anteater animals nature,0,1,1,2
glacierexpress switzerland swiss nature summer winter train view traveltips travel,Casual,Instagram,Gen Z,glacierexpress switzerland swiss nature summer winter train view traveltips travel traveleurope traintravel europe europetravel bucketlist,Travel,Follow for more!,medium,kaggle_instagram,glacierexpress switzerland swiss nature summer winter train view traveltips travel,0,1,1,2
homedecor homeinspo agra noida trendingreels trendingnow dizartstudio,Casual,Instagram,Gen Z,homedecor homeinspo agra noida trendingreels trendingnow dizartstudio,Architecture,Follow for more!,medium,kaggle_instagram,homedecor homeinspo agra noida trendingreels trendingnow dizartstudio,0,1,1,2
trilobe trilobewatches trilobewatch nuitfantastique frenchwatches luxury luxurywatches ethos ethoswatches luxurywatch,Casual,Instagram,Gen Z,trilobe trilobewatches trilobewatch nuitfantastique frenchwatches luxury luxurywatches ethos ethoswatches luxurywatch,Motivation,Follow for more!,medium,kaggle_instagram,trilobe trilobewatches trilobewatch nuitfantastique frenchwatches luxury luxurywatches ethos ethoswatches luxurywatch,0,1,1,2
reallife realstory facts crime instagram eid eidmubarak,Casual,Instagram,Gen Z,reallife realstory facts crime instagram eid eidmubarak,Knowledge,Follow for more!,medium,kaggle_instagram,reallife realstory facts crime instagram eid eidmubarak,0,1,1,2
explore foryou reelsindia jaibajrangbali hanumanjayanti jaishriram rambhakt bajrangbali lordhanuman reelsviral,Casual,Instagram,Gen Z,explore foryou reelsindia jaibajrangbali hanumanjayanti jaishriram rambhakt bajrangbali lordhanuman reelsviral,Spirituality,Follow for more!,medium,kaggle_instagram,explore foryou reelsindia jaibajrangbali hanumanjayanti jaishriram rambhakt bajrangbali lordhanuman reelsviral,0,1,1,2
likewise samehere nicemeetingyou greetings englishteacher etiquettes manners,Casual,Instagram,Gen Z,likewise samehere nicemeetingyou greetings englishteacher etiquettes manners,Education,Follow for more!,medium,kaggle_instagram,likewise samehere nicemeetingyou greetings englishteacher etiquettes manners,0,1,1,2
dasoham,Casual,Instagram,Gen Z,dasoham,Spirituality,Follow for more!,medium,kaggle_instagram,dasoham,0,1,1,2
instagramreels viral bodybuilding triceps cent wrangler,Casual,Instagram,Gen Z,instagramreels viral bodybuilding triceps cent wrangler,Fitness,Follow for more!,medium,kaggle_instagram,instagramreels viral bodybuilding triceps cent wrangler,0,1,1,2
fredotv funny comedy jokes reels reaction relatable,Casual,Instagram,Gen Z,fredotv funny comedy jokes reels reaction relatable,Comedy,Follow for more!,medium,kaggle_instagram,fredotv funny comedy jokes reels reaction relatable,0,1,1,2
tourism uniqueplace vintage cars museum dayout shortdrive mysuru bengaluru bangalore,Casual,Instagram,Gen Z,tourism uniqueplace vintage cars museum dayout shortdrive mysuru bengaluru bangalore,Travel,Follow for more!,medium,kaggle_instagram,tourism uniqueplace vintage cars museum dayout shortdrive mysuru bengaluru bangalore,0,1,1,2
thalassophobia ocean deepsea deepwater phobia,Casual,Instagram,Gen Z,thalassophobia ocean deepsea deepwater phobia,Knowledge,Follow for more!,medium,kaggle_instagram,thalassophobia ocean deepsea deepwater phobia,0,1,1,2
hanuman hanumanjayanti hanumanstatus hanumanbhakt lordhanuman hanumanbhakt hanumanworld hanumanreels hanumanchalisha balhanuman,Casual,Instagram,Gen Z,hanuman hanumanjayanti hanumanstatus hanumanbhakt lordhanuman hanumanbhakt hanumanworld hanumanreels hanumanchalisha balhanuman sanatandharma sanatandharm sanatani sanatanihindu hindu spirtual explore,Spirituality,Follow for more!,medium,kaggle_instagram,hanuman hanumanjayanti hanumanstatus hanumanbhakt lordhanuman hanumanbhakt hanumanworld hanumanreels hanumanchalisha balhanuman,0,1,1,2
wedding fun dancefun,Casual,Instagram,Gen Z,wedding fun dancefun,Dance,Follow for more!,medium,kaggle_instagram,wedding fun dancefun,0,1,1,2
fun party partytime dog doggo techno home afterparty chill,Casual,Instagram,Gen Z,fun party partytime dog doggo techno home afterparty chill,Animals,Follow for more!,medium,kaggle_instagram,fun party partytime dog doggo techno home afterparty chill,0,1,1,2
queenofskies aviation airindia airindia boeing boeing avgeek flying flyingqueen wingwave,Casual,Instagram,Gen Z,queenofskies aviation airindia airindia boeing boeing avgeek flying flyingqueen wingwave pilot mumbai lastflight tata indianskies,Travel,Follow for more!,medium,kaggle_instagram,queenofskies aviation airindia airindia boeing boeing avgeek flying flyingqueen wingwave,0,1,1,2
equality feminism train society politics,Casual,Instagram,Gen Z,equality feminism train society politics,Society,Follow for more!,medium,kaggle_instagram,equality feminism train society politics,0,1,1,2
utohcars pagani cars car paganidesign,Casual,Instagram,Gen Z,utohcars pagani cars car paganidesign,Technology,Follow for more!,medium,kaggle_instagram,utohcars pagani cars car paganidesign,0,1,1,2
cat cats catsofinstagram catstagram catlover catlife instagram catlovers kitten instacat,Casual,Instagram,Gen Z,cat cats catsofinstagram catstagram catlover catlife instagram catlovers kitten instacat kitty pet cute love meow catoftheday pets kittens animals catlove cutecat world lovemycat cutecritters petphotography petfriendly kittycutenss petportrait petcare peradventure,Animals,Follow for more!,medium,kaggle_instagram,cat cats catsofinstagram catstagram catlover catlife instagram catlovers kitten instacat,0,1,1,2
yaarivanu memesmaadonu kannadamemes kannada,Casual,Instagram,Gen Z,yaarivanu memesmaadonu kannadamemes kannada,Comedy,Follow for more!,medium,kaggle_instagram,yaarivanu memesmaadonu kannadamemes kannada,0,1,1,2
englishphrases englishteacher paythebill synonyms betterenglish advancedenglish datingtips funnyvideos,Casual,Instagram,Gen Z,englishphrases englishteacher paythebill synonyms betterenglish advancedenglish datingtips funnyvideos,Education,Follow for more!,medium,kaggle_instagram,englishphrases englishteacher paythebill synonyms betterenglish advancedenglish datingtips funnyvideos,0,1,1,2
suryagowda amma instadaily instagood instagram,Casual,Instagram,Gen Z,suryagowda amma instadaily instagood instagram,Trends,Follow for more!,medium,kaggle_instagram,suryagowda amma instadaily instagood instagram,0,1,1,2
men funnyreels comedyvideos relatable,Casual,Instagram,Gen Z,men funnyreels comedyvideos relatable,Comedy,Follow for more!,medium,kaggle_instagram,men funnyreels comedyvideos relatable,0,1,1,2
shahrukhkhan anushkasharma chyd bhaukadam nileshsable sagarkarande shreyabugde comedy comedian funnymemes,Casual,Instagram,Gen Z,shahrukhkhan anushkasharma chyd bhaukadam nileshsable sagarkarande shreyabugde comedy comedian funnymemes follow fun lol humor bollywood marathi marathicomedy dailymemes instagram instadaily instagood love laugh meme memepage like,Cinema,Follow for more!,medium,kaggle_instagram,shahrukhkhan anushkasharma chyd bhaukadam nileshsable sagarkarande shreyabugde comedy comedian funnymemes,0,1,1,2
efootball fyp instareels explorepage gaming pés goal kerala friends reels,Casual,Instagram,Gen Z,efootball fyp instareels explorepage gaming pés goal kerala friends reels sigma music soccer,Gaming,Follow for more!,medium,kaggle_instagram,efootball fyp instareels explorepage gaming goal kerala friends reels,0,1,1,2
tipping joke senseofhumor military servicecharge getit,Casual,Instagram,Gen Z,tipping joke senseofhumor military servicecharge getit,Comedy,Follow for more!,medium,kaggle_instagram,tipping joke senseofhumor military servicecharge getit,0,1,1,2
investing stocks stockmarket makingmoney money jimsimons invest,Casual,Instagram,Gen Z,investing stocks stockmarket makingmoney money jimsimons invest,Motivation,Follow for more!,medium,kaggle_instagram,investing stocks stockmarket makingmoney money jimsimons invest,0,1,1,2
cycling cyclinglife cycle bike bikelife cyclist memes fumny funnymemes memesdaily,Casual,Instagram,Gen Z,cycling cyclinglife cycle bike bikelife cyclist memes fumny funnymemes memesdaily thatguysjokes,Travel,Follow for more!,medium,kaggle_instagram,cycling cyclinglife cycle bike bikelife cyclist memes fumny funnymemes memesdaily,0,1,1,2
explore explorepage bmw bmwe lsswap,Casual,Instagram,Gen Z,explore explorepage bmw bmwe lsswap,Technology,Follow for more!,medium,kaggle_instagram,explore explorepage bmw bmwe lsswap,0,1,1,2
viral dance kalinbrothers,Casual,Instagram,Gen Z,viral dance kalinbrothers,Dance,Follow for more!,medium,kaggle_instagram,viral dance kalinbrothers,0,1,1,2
cats catsofinstagram cat catstagram instagram catlover catlife catlovers instacat kitten,Casual,Instagram,Gen Z,cats catsofinstagram cat catstagram instagram catlover catlife catlovers instacat kitten pets meow kittens catoftheday kitty love cute pet gatos world gato petsofinstagram cutecats catlove adoptdontshop catsagram catlovers instacat funnycats funnyvideos funny catlover catlife funnyvideos funnycats,Animals,Follow for more!,medium,kaggle_instagram,cats catsofinstagram cat catstagram instagram catlover catlife catlovers instacat kitten,0,1,1,2
active top reels forex smc snr ict signal money,Casual,Instagram,Gen Z,active top reels forex smc snr ict signal money,Education,Follow for more!,medium,kaggle_instagram,active top reels forex smc snr ict signal money,0,1,1,2
rcbfans rcbforever rcbmemes rcbtrolls rcblovers rcbreels rcbfanarmy rcbunbox rcb thmanarmy,Casual,Instagram,Gen Z,rcbfans rcbforever rcbmemes rcbtrolls rcblovers rcbreels rcbfanarmy rcbunbox rcb thmanarmy,Sports,Follow for more!,medium,kaggle_instagram,rcbfans rcbforever rcbmemes rcbtrolls rcblovers rcbreels rcbfanarmy rcbunbox rcb thmanarmy,0,1,1,2
ichigo kisukeurahara zangetsu aizensousuke aizen shinigami bleach antagonist quincy kenpachi,Casual,Instagram,Gen Z,ichigo kisukeurahara zangetsu aizensousuke aizen shinigami bleach antagonist quincy kenpachi ichigoedit ichigko ichigokurosaki byakuya yhwach bankai bankaiedit bleachedit orihime gotei bleachtybw,Cinema,Follow for more!,medium,kaggle_instagram,ichigo kisukeurahara zangetsu aizensousuke aizen shinigami bleach antagonist quincy kenpachi,0,1,1,2
dhruverathee pmmodi explorepage dhruvrathee trending bjp reels meme memepage explore,Casual,Instagram,Gen Z,dhruverathee pmmodi explorepage dhruvrathee trending bjp reels meme memepage explore reelsinstagram viral,Society,Follow for more!,medium,kaggle_instagram,dhruverathee pmmodi explorepage dhruvrathee trending bjp reels meme memepage explore,0,1,1,2
rishavislive reactionvideos memesfunny memes reelsinstagram reelsfb facebookgaming,Casual,Instagram,Gen Z,rishavislive reactionvideos memesfunny memes reelsinstagram reelsfb facebookgaming,Gaming,Follow for more!,medium,kaggle_instagram,rishavislive reactionvideos memesfunny memes reelsinstagram reelsfb facebookgaming,0,1,1,2
banglore marwadibaisa jaipur workingbahu girlboss bothworlds,Casual,Instagram,Gen Z,banglore marwadibaisa jaipur workingbahu girlboss bothworlds,Society,Follow for more!,medium,kaggle_instagram,banglore marwadibaisa jaipur workingbahu girlboss bothworlds,0,1,1,2
brothersister sister borther,Casual,Instagram,Gen Z,brothersister sister borther,Cinema,Follow for more!,medium,kaggle_instagram,brothersister sister borther,0,1,1,2
chess chessgames chesstime chessplayers playchess game gameofchess chesspieces boardgames chessquotes,Casual,Instagram,Gen Z,chess chessgames chesstime chessplayers playchess game gameofchess chesspieces boardgames chessquotes chesscom schack magnuscarlsen magnus lichess gukesh king satran india chessnews chesslessons puzzle chessman photography chesslovers pawn vidit chessbaseindia chessmate chessbase,Sports,Follow for more!,medium,kaggle_instagram,chess chessgames chesstime chessplayers playchess game gameofchess chesspieces boardgames chessquotes,0,1,1,2
düğün vsco instagram evlilikteklifi kesfet fyp vscocam gelindamat weddingstory reels,Casual,Instagram,Gen Z,düğün vsco instagram evlilikteklifi kesfet fyp vscocam gelindamat weddingstory reels instagood blackandwhite adobe veddingday düğüngünü sahil sea funny photograpy,Festivals,Follow for more!,medium,kaggle_instagram,vsco instagram evlilikteklifi kesfet fyp vscocam gelindamat weddingstory reels,0,1,1,2
original song meme pedro raccoon,Casual,Instagram,Gen Z,original song meme pedro raccoon,Music,Follow for more!,medium,kaggle_instagram,original song meme pedro raccoon,0,1,1,2
